label,rmse,mae,r2,da
"BiLSTM Tuned (u=64, LB=60)",0.022624060544844064,0.015795373675191772,-0.016420920759693036,46.285714285714285
"LSTM (64u, LB=30)",0.02311844572189884,0.016166929581267697,-0.004981331027640312,46.05263157894737
"GRU (64u, LB=30)",0.023219347993659156,0.016300413989612204,-0.01377311533901171,49.73684210526316
"BiLSTM (64u, LB=30)",0.02360964757231297,0.016599763972548247,-0.04814106741234947,49.21052631578947
"SimpleRNN (64u, LB=30)",0.0238192737335483,0.01677678561683264,-0.06683623909546799,47.89473684210526
Naïve (tomorrow=today),0.03391623334423615,0.02371812370413777,-1.1629972038337422,50.26315789473684
